Any,Localitzacio,export,import
2023,Catalunya,100768.6,110556.6
2022,Catalunya,94410.5,112758.2
2021,Catalunya,80502.2,91131.6
2020,Catalunya,66525.9,75920.5
2019,Catalunya,73938.0,92643.1
2018,Catalunya,71226.3,90898.9
2017,Catalunya,69669.2,85167.8
2016,Catalunya,65161.0,78158.9
2015,Catalunya,63906.3,76988.2
2014,Catalunya,60313.7,72908.7
2013,Catalunya,58981.3,67859.8
2012,Catalunya,58880.7,70323.9
2011,Catalunya,54989.2,72273.2
2010,Catalunya,48871.6,67622.1
2009,Catalunya,41461.7,57663.8
2008,Catalunya,50515.7,77233.9
2007,Catalunya,49678.4,80337.7
2006,Catalunya,47226.0,74787.8
2005,Catalunya,42703.4,67813.3
2004,Catalunya,39485.1,60731.0
2003,Catalunya,37648.5,54344.7
2002,Catalunya,37275.9,51891.8
